release_year,country,total_titles
2021,,208
2021,"United States",137
2021,India,31
2021,"United Kingdom",22
2021,"South Korea",19
2020,"United States",336
2020,,101
2020,India,75
2020,"United Kingdom",44
2020,"South Korea",28
2019,"United States",349
2019,,117
2019,India,87
2019,"United Kingdom",37
2019,Japan,25
2018,"United States",355
2018,,109
2018,India,94
2018,"United Kingdom",55
2018,Japan,40
2017,"United States",350
2017,India,101
2017,,66
2017,"United Kingdom",66
2017,"South Korea",31
2016,"United States",262
2016,India,73
2016,,64
2016,"United Kingdom",62
2016,"South Korea",29
2015,"United States",144
2015,India,62
2015,,44
2015,"United Kingdom",36
2015,Canada,13
2015,Turkey,13
2014,"United States",94
2014,India,51
2014,"United Kingdom",24
2014,,19
2014,Turkey,15
2013,"United States",85
2013,India,54
2013,,18
2013,"United Kingdom",15
2013,Japan,10
2012,"United States",70
2012,India,38
2012,,15
2012,"South Korea",11
2012,"United Kingdom",9
2012,Egypt,9
2011,"United States",56
2011,India,30
2011,"United Kingdom",9
2011,Japan,8
2011,Egypt,8
2010,"United States",53
2010,India,35
2010,,16
2010,Japan,7
2010,Turkey,5
2010,"United Kingdom",5
2010,Egypt,5
2009,"United States",42
2009,India,28
2009,,10
2009,Taiwan,6
2009,Japan,4
2009,Egypt,4
2009,"United States, United Kingdom",4
2008,"United States",45
2008,India,25
2008,Japan,10
2008,"United Kingdom",6
2008,Egypt,5
2007,"United States",33
2007,India,16
2007,"United States, United Kingdom",4
2007,"United States, Canada",3
2007,Japan,2
2007,Egypt,2
2007,Canada,2
2007,Thailand,2
2006,"United States",31
2006,India,20
2006,Japan,5
2006,Egypt,5
2006,"United States, Germany",3
2005,"United States",25
2005,India,20
2005,Turkey,3
2005,Japan,2
2005,Taiwan,2
2005,"United States, United Kingdom",2
2005,"United States, Germany",2
2004,"United States",17
2004,India,15
2004,Japan,3
2004,"United States, Germany",2
2004,,2
2004,"United Kingdom",2
2004,Turkey,2
2004,Egypt,2
2004,Taiwan,2
2004,Mexico,2
2003,"United States",22
2003,India,12
2003,Japan,4
2003,"United States, Australia",2
2003,,2
2002,"United States",16
2002,India,10
2002,Japan,3
2002,Taiwan,2
2002,,1
2002,"United States, Canada",1
2002,"United States, Germany, Canada",1
2002,"United Kingdom, France, Poland, Germany, United States",1
2002,"South Africa, United States",1
2002,"France, United States",1
2002,France,1
2002,"United Kingdom, United States, France, Germany",1
2002,Thailand,1
2002,"United States, Germany",1
2002,"United Kingdom",1
2002,"Brazil, France, Germany",1
2002,"United Kingdom, United States",1
