release_year,genre,total_titles
2021,Other,194
2021,Drama,50
2021,Family,28
2021,Action,24
2021,Comedy,17
2021,Thriller,10
2021,Horror,9
2021,Sci-Fi,1
2020,Other,265
2020,Drama,109
2020,Family,63
2020,Comedy,47
2020,Action,29
2020,Horror,19
2020,Thriller,13
2020,Sci-Fi,1
2019,Other,274
2019,Drama,128
2019,Family,54
2019,Comedy,54
2019,Thriller,30
2019,Action,26
2019,Horror,18
2019,Sci-Fi,2
2018,Other,324
2018,Drama,121
2018,Comedy,73
2018,Family,43
2018,Action,38
2018,Horror,32
2018,Thriller,23
2018,Sci-Fi,3
2017,Other,312
2017,Drama,131
2017,Comedy,65
2017,Action,45
2017,Family,41
2017,Horror,32
2017,Thriller,15
2016,Other,253
2016,Drama,128
2016,Action,43
2016,Comedy,38
2016,Family,34
2016,Horror,23
2016,Thriller,17
2016,Sci-Fi,3
2015,Other,141
2015,Drama,76
2015,Action,22
2015,Comedy,18
2015,Family,17
2015,Horror,9
2015,Thriller,7
2015,Sci-Fi,1
2014,Other,87
2014,Drama,47
2014,Family,23
2014,Action,11
2014,Comedy,11
2014,Horror,10
2014,Thriller,10
2014,Sci-Fi,3
2013,Other,66
2013,Family,30
2013,Drama,27
2013,Horror,11
2013,Action,11
2013,Comedy,10
2013,Thriller,4
2013,Sci-Fi,1
2012,Other,52
2012,Drama,31
2012,Family,17
2012,Action,14
2012,Comedy,12
2012,Horror,4
2012,Thriller,1
2012,Sci-Fi,1
2011,Other,41
2011,Drama,23
2011,Family,19
2011,Action,10
2011,Horror,6
2011,Comedy,6
2011,Thriller,3
2010,Other,40
2010,Drama,36
2010,Action,17
2010,Family,14
2010,Horror,4
2010,Comedy,3
2010,Thriller,1
2009,Other,27
2009,Drama,25
2009,Action,11
2009,Family,10
2009,Horror,8
2009,Thriller,6
2009,Comedy,2
2008,Other,32
2008,Drama,22
2008,Family,10
2008,Action,9
2008,Comedy,5
2008,Horror,3
2008,Thriller,1
2007,Other,19
2007,Drama,13
2007,Action,10
2007,Family,6
2007,Comedy,2
2007,Horror,2
2007,Thriller,1
2006,Other,19
2006,Action,8
2006,Drama,8
2006,Horror,5
2006,Family,5
2006,Comedy,4
2006,Thriller,2
2006,Sci-Fi,2
2005,Other,22
2005,Drama,12
2005,Action,7
2005,Family,5
2005,Thriller,2
2005,Sci-Fi,1
2005,Comedy,1
2005,Horror,1
2004,Other,12
2004,Drama,9
2004,Family,6
2004,Action,4
2004,Horror,1
2003,Other,14
2003,Action,10
2003,Drama,6
2003,Family,6
2003,Horror,2
2003,Thriller,1
2002,Action,9
2002,Drama,7
2002,Other,7
2002,Family,3
2002,Thriller,2
2002,Comedy,1
2002,Horror,1
2001,Other,8
2001,Drama,6
2001,Action,6
2001,Family,3
2001,Thriller,2
2001,Comedy,1
2001,Sci-Fi,1
2000,Other,6
2000,Action,5
2000,Family,4
2000,Horror,3
2000,Drama,2
2000,Comedy,1
1999,Other,8
1999,Action,6
1999,Drama,5
1999,Family,3
1999,Thriller,2
1999,Sci-Fi,1
1998,Other,11
1998,Drama,4
1998,Action,2
1998,Family,2
1998,Thriller,2
1998,Comedy,1
1997,Other,9
1997,Action,8
1997,Drama,6
1997,Thriller,2
1997,Horror,2
1997,Family,1
1996,Other,9
1996,Action,3
1996,Drama,3
1996,Horror,1
1996,Thriller,1
1995,Drama,5
1995,Action,4
1995,Other,3
1995,Thriller,1
1995,Family,1
1994,Other,5
1994,Action,4
1994,Drama,2
1994,Family,1
1993,Drama,6
1993,Action,4
1993,Family,2
1993,Other,2
1993,Comedy,1
1993,Thriller,1
1992,Other,3
1992,Action,3
1992,Horror,2
1992,Drama,2
1992,Comedy,2
1992,Family,1
1992,Thriller,1
1991,Comedy,4
1991,Drama,3
1991,Family,2
1991,Other,2
1991,Action,1
1990,Drama,5
1990,Other,3
1990,Action,3
1990,Comedy,1
1989,Drama,4
1989,Family,2
1989,Other,2
1989,Action,1
1989,Comedy,1
1988,Drama,7
1988,Other,4
1988,Action,1
1988,Horror,1
1987,Comedy,2
1987,Drama,1
1987,Action,1
1987,Horror,1
1986,Action,3
1986,Drama,3
1986,Other,1
1986,Family,1
1985,Other,2
1985,Action,1
1985,Drama,1
1984,Action,2
1984,Drama,1
1983,Other,1
1983,Comedy,1
1983,Action,1
1983,Drama,1
1982,Drama,2
1982,Other,1
1982,Action,1
1982,Family,1
1981,Other,3
1981,Drama,1
1980,Drama,2
1980,Action,2
1980,Other,1
1979,Other,1
1979,Comedy,1
1979,Drama,1
1978,Family,1
1978,Action,1
1977,Other,1
1977,Family,1
1977,Horror,1
1976,Drama,2
1976,Action,1
1976,Other,1
1973,Action,4
1973,Family,1
1973,Other,1
1972,Other,3
1969,Drama,1
1967,Drama,1
1967,Other,1
1965,Drama,1
1964,Other,1
1963,Sci-Fi,1
1961,Action,1
1959,Drama,1
1958,Drama,1
1955,Drama,1
1947,Other,1
1946,Other,2
1945,Other,4
1944,Other,3
1943,Other,3
1942,Other,2
1925,Other,1
