release_year,genre,total_titles
2021,"Kids' TV",24
2021,Documentaries,19
2021,"Reality TV",18
2021,Docuseries,15
2021,"Children & Family Movies, Comedies",13
2021,"Children & Family Movies",12
2021,"Stand-Up Comedy",12
2021,"International TV Shows, TV Dramas",11
2021,"Dramas, International Movies",10
2021,"Kids' TV, TV Comedies",10
2021,"Action & Adventure, International Movies",10
2021,"Anime Series, International TV Shows",10
2021,"Documentaries, International Movies",9
2021,"TV Comedies",8
2021,"International TV Shows, TV Comedies",8
2021,"TV Comedies, TV Dramas",7
2021,"Documentaries, Sports Movies",7
2021,"Docuseries, Science & Nature TV",7
2021,Dramas,6
2021,"Comedies, Romantic Movies",6
2021,"Docuseries, International TV Shows",6
2021,"Crime TV Shows, Docuseries",6
2021,"Comedies, International Movies",6
2021,"Action & Adventure",5
2021,"International Movies, Thrillers",5
2021,Thrillers,4
2021,"International TV Shows, Reality TV",4
2021,"Action & Adventure, Comedies",4
2021,"Horror Movies",4
2021,"Reality TV, Romantic TV Shows",4
2021,Comedies,4
2021,"Docuseries, Reality TV",3
2021,"Comedies, Dramas",3
2021,"Documentaries, Music & Musicals",3
2021,"Anime Series",3
2021,"Stand-Up Comedy & Talk Shows, TV Comedies",3
2021,Movies,3
2021,"Romantic TV Shows, TV Dramas",3
2021,"Anime Series, Kids' TV",2
2021,"Children & Family Movies, Music & Musicals",2
2021,"Children & Family Movies, Dramas",2
2021,"TV Shows",2
2021,"TV Action & Adventure, TV Sci-Fi & Fantasy",2
2021,"Horror Movies, LGBTQ Movies",2
2021,"Dramas, Thrillers",2
2021,"Dramas, Independent Movies",2
2021,"British TV Shows, Reality TV",1
2021,"Kids' TV, TV Sci-Fi & Fantasy",1
2021,"British TV Shows, Kids' TV",1
2021,"Reality TV, Teen TV Shows",1
2021,"Action & Adventure, Anime Features",1
2021,"Action & Adventure, Dramas",1
2021,"Documentaries, LGBTQ Movies",1
2021,"TV Dramas, TV Sci-Fi & Fantasy",1
2021,"TV Dramas, Teen TV Shows",1
2021,"Children & Family Movies, Sports Movies",1
2021,"Anime Series, Stand-Up Comedy & Talk Shows",1
2021,"Dramas, Romantic Movies",1
2021,"Horror Movies, International Movies",1
2021,"International Movies, Romantic Movies",1
2021,"Anime Features, Documentaries",1
2021,"Action & Adventure, Horror Movies",1
2021,"TV Dramas",1
2021,"Horror Movies, Thrillers",1
2021,"International TV Shows, Stand-Up Comedy & Talk Shows",1
2021,"TV Horror, Teen TV Shows",1
2021,"Kids' TV, TV Thrillers",1
2021,"Docuseries, TV Comedies",1
2020,"Dramas, International Movies",42
2020,"Stand-Up Comedy",41
2020,"Children & Family Movies",34
2020,Documentaries,23
2020,"Children & Family Movies, Comedies",23
2020,"Kids' TV",22
2020,"Kids' TV, TV Comedies",21
2020,"Reality TV",19
2020,"TV Comedies",17
2020,"Documentaries, International Movies",14
2020,"Crime TV Shows, Docuseries",14
2020,Docuseries,13
2020,Dramas,12
2020,"International TV Shows, Reality TV",11
2020,"Comedies, International Movies",11
2020,"Action & Adventure",11
2020,Comedies,10
2020,"International TV Shows, TV Dramas",10
2020,"Anime Series, International TV Shows",10
2020,"Horror Movies, International Movies",9
2020,"Docuseries, Science & Nature TV",9
2020,"Dramas, Independent Movies",9
2020,"Docuseries, International TV Shows",8
2020,"Action & Adventure, International Movies",7
2020,"International Movies, Thrillers",7
2020,"Comedies, Romantic Movies",7
2020,"Documentaries, LGBTQ Movies",7
2020,"TV Dramas",6
2020,"Documentaries, Music & Musicals",6
2020,"International Movies, Music & Musicals",5
2020,Thrillers,5
2020,"TV Comedies, TV Dramas",5
2020,"Stand-Up Comedy & Talk Shows, TV Comedies",4
2020,"Children & Family Movies, Dramas",4
2020,"Children & Family Movies, Music & Musicals",4
2020,"Docuseries, Reality TV",4
2020,"Dramas, Thrillers",4
2020,"Horror Movies",3
2020,"Documentaries, Sports Movies",3
2020,"British TV Shows, Kids' TV",3
2020,"Kids' TV, Korean TV Shows",3
2020,"Romantic TV Shows, TV Dramas",3
2020,"Reality TV, Romantic TV Shows",3
2020,"Anime Series",3
