release_year,total_titles,year_over_year_growth
2021,590,-38.03
2020,952,-7.21
2019,1026,-10.47
2018,1146,11.26
2017,1030,14.32
2016,901,61.18
2015,559,58.81
2014,352,22.22
2013,288,21.52
2012,237,28.11
2011,185,-4.15
2010,193,26.97
2009,152,11.76
2008,136,54.55
2007,88,-7.37
2006,95,18.75
2005,80,25.00
2004,64,4.92
2003,61,19.61
2002,51,13.33
2001,45,21.62
2000,37,-5.13
1999,39,8.33
1998,36,-2.70
1997,37,54.17
1996,24,-4.00
1995,25,19.05
1994,21,-25.00
1993,28,21.74
1992,23,35.29
1991,17,-19.05
1990,21,31.25
1989,16,-11.11
1988,18,125.00
1987,8,-38.46
1986,13,30.00
1985,10,-16.67
1984,12,9.09
1983,11,-35.29
1982,17,30.77
1981,13,18.18
1980,11,0.00
1979,11,57.14
1978,7,0.00
1977,7,-22.22
1976,9,28.57
1975,7,0.00
1974,7,-30.00
1973,10,100.00
1972,5,0.00
1971,5,150.00
1970,2,0.00
1969,2,-33.33
1968,3,-40.00
1967,5,400.00
1966,1,-50.00
1965,2,0.00
1964,2,0.00
1963,2,-33.33
1962,3,200.00
1961,1,-75.00
1960,4,300.00
1959,1,-66.67
1958,3,50.00
1956,2,-33.33
1955,3,50.00
1954,2,100.00
1947,1,-50.00
1946,2,-50.00
1945,4,33.33
1944,3,0.00
1943,3,50.00
1942,2,100.00
1925,1,NULL
